herb,ingredient
DA ZAO,Tetradecanoic acid
DA ZAO,HEXANOIC ACID
DA ZAO,Isoeugenol
DA ZAO,OLEANOLIC ACID
DA ZAO,lauric acid
DA ZAO,benzaldehyde
DA ZAO,quercetin
DA ZAO,linoleic acid
DA ZAO,caffeic acid
DA ZAO,BETA-SITOSTEROL
DA ZAO,scopoletin
DA ZAO,RUTIN
DA ZAO,STIGMASTEROL
DA ZAO,CINNAMIC ACID
DA ZAO,Myristicin
DA ZAO,betulinic acid
DA ZAO,hydrocinnamic acid
DA ZAO,Arachidic acid
DA ZAO,octanoic acid
DA ZAO,oleic acid
DA ZAO,palmitic acid
DA ZAO,stearic acid
DA ZAO,benzyl alcohol
DA ZAO,citric acid
DA ZAO,palmitoleic acid
DA ZAO,succinic acid
DA ZAO,Gallic acid
DA ZAO,Elaidic acid
DA ZAO,beta-carotene
DA ZAO,Clionasterol
DA ZAO,L-asparagine
DA ZAO,propionic acid
DA ZAO,pantothenic acid
DA ZAO,pyrocatechol
DA ZAO,ferulic acid
DA ZAO,p-coumaric acid
DA ZAO,adenosine
DA ZAO,protopine
DA ZAO,L-phenylalanine
DA ZAO,L-alanine
DA ZAO,glycine
DA ZAO,uridine
DA ZAO,L-proline
DA ZAO,L-aspartic acid
DA ZAO,L-valine
DA ZAO,thymidine
DA ZAO,linolenic acid
DA ZAO,uracil
DA ZAO,"2-amino-3,7-dihydropurin-6-one"
DA ZAO,adenine
DA ZAO,"3,7-dihydropurin-6-one"
DA ZAO,sucrose
DA ZAO,L-leucine
DA ZAO,"2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-3H-purin-6-one"
DA ZAO,eugenol
DA ZAO,Sinapyl alcohol
DA ZAO,TRISTEARIN
DA ZAO,ellagic acid
DA ZAO,Cyclic AMP
DA ZAO,"9-[(4aR,6R,7R,7aS)-2,7-dihydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-6-yl]-2-amino-3H-purin-6-one"
DA ZAO,COUMESTROL
DA ZAO,Nuciferine
DA ZAO,VITAMIN E
DA ZAO,"9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-3H-purin-6-one"
DA ZAO,xanthine
DA ZAO,Swertisin
DA ZAO,malic acid
DA ZAO,D-Glc
DA ZAO,berberine
DA ZAO,"2,3-Dihydroxysuccinic acid"
DA ZAO,"D,L-Stepholidine"
DA ZAO,"cobalt(2+);[5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] 1-[3-[2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-21-id-3-yl]propanoylamino]propan-2-yl hydrogen phosphate;cyanide"
DA ZAO,"2-(3,4-Dihydroxyphenyl)chroman-3,5,7-triol"
DA ZAO,DL-ALPHA-TOCOPHEROL
DA ZAO,DL-PHENYLALANINE
DA ZAO,Acrasin
DA ZAO,d-Tartaric acid
DA ZAO,cis-Caffeic acid
DA ZAO,D-(+)-malic acid
DA ZAO,l-Stepholidine
DA ZAO,D-phenylalanine
DA ZAO,cytidine
DA ZAO,2'-deoxyadenosine
DA ZAO,2-Deoxyadenosine
DA ZAO,97-67-6
KUAN DONG HUA,Tetradecanoic acid
KUAN DONG HUA,PENTADECANOIC ACID
KUAN DONG HUA,kaempferol
KUAN DONG HUA,quercetin
KUAN DONG HUA,caffeic acid
KUAN DONG HUA,BETA-SITOSTEROL
KUAN DONG HUA,RUTIN
KUAN DONG HUA,palmitic acid
KUAN DONG HUA,stearic acid
KUAN DONG HUA,benzyl alcohol
KUAN DONG HUA,citric acid
KUAN DONG HUA,succinic acid
KUAN DONG HUA,DODECANE
KUAN DONG HUA,Gallic acid
KUAN DONG HUA,fumaric acid
KUAN DONG HUA,ferulic acid
KUAN DONG HUA,adenosine
KUAN DONG HUA,HEXADECANE
KUAN DONG HUA,L-alanine
KUAN DONG HUA,uridine
KUAN DONG HUA,L-proline
KUAN DONG HUA,L-aspartic acid
KUAN DONG HUA,L-valine
KUAN DONG HUA,uracil
KUAN DONG HUA,adenine
KUAN DONG HUA,4-aminobutyric acid
KUAN DONG HUA,sucrose
KUAN DONG HUA,Isoferulic acid
KUAN DONG HUA,L-threonine
KUAN DONG HUA,L-leucine
KUAN DONG HUA,Undecane
KUAN DONG HUA,Ethyl caffeate
KUAN DONG HUA,creatine
KUAN DONG HUA,18483-17-5
KUAN DONG HUA,Ethanolamine
KUAN DONG HUA,choline
KUAN DONG HUA,malic acid
KUAN DONG HUA,DL-ALANINE
KUAN DONG HUA,letrozole
KUAN DONG HUA,DL-Proline
KUAN DONG HUA,DL-ISOLEUCINE
KUAN DONG HUA,d-Tartaric acid
KUAN DONG HUA,cis-Caffeic acid
KUAN DONG HUA,L-glutamic acid
KUAN DONG HUA,l-isoleucine
KUAN DONG HUA,D-(+)-malic acid
KUAN DONG HUA,D-alanine
KUAN DONG HUA,D-glutamic acid
KUAN DONG HUA,D-proline
KUAN DONG HUA,97-67-6
BAN XIA,PENTADECANOIC ACID
BAN XIA,benzaldehyde
BAN XIA,phenylacetaldehyde
BAN XIA,PAEONOL
BAN XIA,linoleic acid
BAN XIA,caffeic acid
BAN XIA,BETA-SITOSTEROL
BAN XIA,STIGMASTEROL
BAN XIA,salicylic acid
BAN XIA,oleic acid
BAN XIA,palmitic acid
BAN XIA,stearic acid
BAN XIA,palmitoleic acid
BAN XIA,succinic acid
BAN XIA,Gallic acid
BAN XIA,ANTHRACENE
BAN XIA,Clionasterol
BAN XIA,pyrocatechol
BAN XIA,ferulic acid
BAN XIA,adenosine
BAN XIA,L-phenylalanine
BAN XIA,L-alanine
BAN XIA,glycine
BAN XIA,L-arginine
BAN XIA,L-lysine
BAN XIA,L-tyrosine
BAN XIA,uridine
BAN XIA,L-proline
BAN XIA,L-aspartic acid
BAN XIA,L-valine
BAN XIA,L-histidine
BAN XIA,CAMPESTEROL
BAN XIA,thymidine
BAN XIA,linolenic acid
BAN XIA,uracil
BAN XIA,"2-amino-3,7-dihydropurin-6-one"
BAN XIA,L-tryptophan
BAN XIA,adenine
BAN XIA,"3,7-dihydropurin-6-one"
BAN XIA,4-aminobutyric acid
BAN XIA,FURFURAL
BAN XIA,baicalein
BAN XIA,Baicalin
BAN XIA,L-serine
BAN XIA,L-threonine
BAN XIA,cis-11-eicosenoic acid
BAN XIA,L-leucine
BAN XIA,hydroquinone
BAN XIA,Ephedrine
BAN XIA,"2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-3H-purin-6-one"
BAN XIA,eugenol
BAN XIA,safrole
BAN XIA,P-CRESOL
BAN XIA,4-methylphenol
BAN XIA,Acteoside
BAN XIA,L-methionine
BAN XIA,nicotinamide
BAN XIA,Ligustilide
BAN XIA,PSEUDOEPHEDRINE
BAN XIA,"9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-3H-purin-6-one"
BAN XIA,choline
BAN XIA,DL-2-Aminobutyric acid
BAN XIA,hexadecanal
BAN XIA,5-HYDROXYMETHYLFURFURAL
BAN XIA,ERYTHRITOL
BAN XIA,4-aminopyridine
BAN XIA,"(E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid"
BAN XIA,2-Ethylhexan-1-ol
BAN XIA,p-Coumaryl alcohol
BAN XIA,DL-METHIONINE
BAN XIA,DL-PHENYLALANINE
BAN XIA,L-glutamic acid
BAN XIA,l-isoleucine
BAN XIA,D-alanine
BAN XIA,2'-DEOXYURIDINE
BAN XIA,D-Tryptophan
BAN XIA,D-phenylalanine
BAN XIA,cytidine
BAN XIA,NSC70861
BAN XIA,Methylthioadenosine
BAN XIA,xanthosine
BAN XIA,gaboxadol
MA HUANG,Tetradecanoic acid
MA HUANG,PENTADECANOIC ACID
MA HUANG,HEXANOIC ACID
MA HUANG,lauric acid
MA HUANG,kaempferol
MA HUANG,guaiazulene
MA HUANG,benzaldehyde
MA HUANG,quercetin
MA HUANG,linoleic acid
MA HUANG,Decanoic acid
MA HUANG,Umbelliferone
MA HUANG,scopoletin
MA HUANG,RUTIN
MA HUANG,CINNAMIC ACID
MA HUANG,naphthalene
MA HUANG,STYRENE
MA HUANG,luteolin
MA HUANG,Arachidic acid
MA HUANG,octanoic acid
MA HUANG,palmitic acid
MA HUANG,stearic acid
MA HUANG,1-octanol
MA HUANG,benzyl alcohol
MA HUANG,NONANOIC ACID
MA HUANG,PHENANTHRENE
MA HUANG,M-XYLENE
MA HUANG,formononetin
MA HUANG,p-coumaric acid
MA HUANG,linolenic acid
MA HUANG,apigenin
MA HUANG,FURFURAL
MA HUANG,Ephedrine
MA HUANG,Matrine
MA HUANG,toluene
MA HUANG,P-CRESOL
MA HUANG,4-methylphenol
MA HUANG,1-HEPTANOL
MA HUANG,BETA-IONONE
MA HUANG,ethanol
MA HUANG,P-XYLENE
MA HUANG,Phenethylamine
MA HUANG,PSEUDOEPHEDRINE
MA HUANG,ISOBUTYRIC ACID
MA HUANG,Norephedrine
MA HUANG,Caffeic acid phenethyl ester
MA HUANG,Xanthohumol
MA HUANG,camphor
MA HUANG,Synephrine
MA HUANG,(E/Z)-ferulic acid
MA HUANG,acetate
MA HUANG,5-HYDROXYMETHYLFURFURAL
MA HUANG,"1,4-DIMETHYLNAPHTHALENE"
MA HUANG,"2,6-DIMETHYLNAPHTHALENE"
MA HUANG,(-)-Norephedrine
MA HUANG,"(E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid"
MA HUANG,Caffeic acid-phenethyl ester
MA HUANG,"3',4',7-Trihydroxyisoflavone"
MA HUANG,phenylpropanolamine
MA HUANG,(+)-Medicarpin
MA HUANG,NSC70861
MA HUANG,8-Prenylnaringenin
SHE GAN,Acetovanillone
SHE GAN,Mangiferin
SHENG JIANG,Tetradecanoic acid
SHENG JIANG,PENTADECANOIC ACID
SHENG JIANG,Isoeugenol
SHENG JIANG,lauric acid
SHENG JIANG,kaempferol
SHENG JIANG,phenylacetaldehyde
SHENG JIANG,quercetin
SHENG JIANG,linoleic acid
SHENG JIANG,BETA-SITOSTEROL
SHENG JIANG,RUTIN
SHENG JIANG,CINNAMIC ACID
SHENG JIANG,vanillin
SHENG JIANG,salicylic acid
SHENG JIANG,octanoic acid
SHENG JIANG,oleic acid
SHENG JIANG,palmitic acid
SHENG JIANG,stearic acid
SHENG JIANG,palmitoleic acid
SHENG JIANG,NONANOIC ACID
SHENG JIANG,Octanal
SHENG JIANG,Gallic acid
SHENG JIANG,Elaidic acid
SHENG JIANG,l-Pipecolic acid
SHENG JIANG,propionic acid
SHENG JIANG,ferulic acid
SHENG JIANG,Acetovanillone
SHENG JIANG,linolenic acid
SHENG JIANG,adenine
SHENG JIANG,1-propanol
SHENG JIANG,eugenol
SHENG JIANG,ZINGERONE
SHENG JIANG,safrole
SHENG JIANG,phenol
SHENG JIANG,VITAMIN E
SHENG JIANG,6-Gingerol
SHENG JIANG,Isoginkgetin
SHENG JIANG,acetaldehyde
SHENG JIANG,Fisetin
SHENG JIANG,methylglyoxal
SHENG JIANG,camphor
SHENG JIANG,"Butane-1,2,3,4-tetrol"
SHENG JIANG,piperidine-2-carboxylic acid
SHENG JIANG,galanthamine
SHENG JIANG,1-butanol
SHENG JIANG,ERYTHRITOL
SHENG JIANG,CONIFERYL ALCOHOL
SHENG JIANG,acetone
SHENG JIANG,"2-(3,4-Dihydroxyphenyl)chroman-3,5,7-triol"
SHENG JIANG,naringenin
SHENG JIANG,DL-ALPHA-TOCOPHEROL
SHENG JIANG,5-hydroxy-1-(4-hydroxy-3-methoxyphenyl)decan-3-one
SHENG JIANG,Epigalanthamin
SHENG JIANG,Oleamide
SHENG JIANG,TANNIC ACID
SHENG JIANG,glimepiride
SHENG JIANG,Melatonin
WU WEI ZI,HEXANOIC ACID
WU WEI ZI,quercetin
WU WEI ZI,RUTIN
WU WEI ZI,naphthalene
WU WEI ZI,salicylic acid
WU WEI ZI,podophyllotoxin
WU WEI ZI,citric acid
WU WEI ZI,p-coumaric acid
WU WEI ZI,cholesterol
WU WEI ZI,FURFURAL
WU WEI ZI,VITAMIN E
WU WEI ZI,12001-79-5
WU WEI ZI,malic acid
WU WEI ZI,"2,3-butanediol"
WU WEI ZI,5-HYDROXYMETHYLFURFURAL
WU WEI ZI,Masoprocol
WU WEI ZI,NORDIHYDROGUAIARETIC ACID
WU WEI ZI,4-nonylphenol
WU WEI ZI,D-(+)-malic acid
XI XIN,PENTADECANOIC ACID
XI XIN,kaempferol
XI XIN,PAEONOL
XI XIN,Myristicin
XI XIN,naphthalene
XI XIN,palmitic acid
XI XIN,sesamin
XI XIN,eugenol
XI XIN,Sesamol
XI XIN,ISOSAFROLE
XI XIN,safrole
XI XIN,trimethylamine
XI XIN,Aristolochic acid
XI XIN,camphor
XI XIN,estriol
XI XIN,Esatenolol
XI XIN,Asarinin
XI XIN,nifedipine
XI XIN,atenolol
XI XIN,(R)-(+)-Atenolol
XI XIN,Gefitinib
ZI WAN,OLEANOLIC ACID
ZI WAN,kaempferol
ZI WAN,quercetin
ZI WAN,linoleic acid
ZI WAN,Decanoic acid
ZI WAN,caffeic acid
ZI WAN,BETA-SITOSTEROL
ZI WAN,RUTIN
ZI WAN,salicylic acid
ZI WAN,luteolin
ZI WAN,oleic acid
ZI WAN,palmitic acid
ZI WAN,emodin
ZI WAN,apigenin
ZI WAN,hesperidin
ZI WAN,Undecane
ZI WAN,chrysin
ZI WAN,Galangin
